date,qqq_buy_hold,equal_weight_universe,baseline_rf_gross_return,baseline_rf_net_return,baseline_rf_turnover,optimised_rf_gross_return,optimised_rf_net_return,optimised_rf_turnover
2024-07-31,0.0110387541930649,0.009897466336755145,-0.00594738570689953,-0.00694738570689953,0.9999999999999999,-0.00594738570689953,-0.00694738570689953,0.9999999999999999
2024-08-31,0.0262160295313964,0.024653104116539665,0.018606049770282622,0.017806049770282623,0.7999999999999999,0.023317517213410324,0.022517517213410325,0.7999999999999999
2024-09-30,-0.0086463559104306,-0.015315202276866863,0.008271114089797641,0.007471114089797641,0.7999999999999999,0.00827111408979764,0.007471114089797639,0.7999999999999999
2024-10-31,0.0535082171626466,0.0414005971614004,0.061121461879839606,0.060321461879839604,0.7999999999999999,0.05791089628544295,0.05711089628544295,0.7999999999999999
2024-11-30,0.0045404969264244,0.01543445465277785,0.03201340898396349,0.031413408983963484,0.6,0.07322293068961605,0.07202293068961604,1.2
2024-12-31,0.0216339201740081,0.030304639887979427,0.016793919428375825,0.016193919428375825,0.6,0.019294206283752228,0.018294206283752227,0.9999999999999999
2025-01-31,-0.0270347304314839,-0.04210439754695049,-0.03897715418094562,-0.04017715418094562,1.2,-0.0459364858603158,-0.0469364858603158,0.9999999999999999
2025-02-28,-0.075861917921729,-0.07154706050396223,-0.05655608522440548,-0.05695608522440548,0.4,-0.07048461730151864,-0.07148461730151864,0.9999999999999999
2025-03-31,0.01396820088766,0.006426579958927839,-0.0030117499282119597,-0.00401174992821196,0.9999999999999999,0.002918189592132449,0.001718189592132449,1.2
2025-04-30,0.0917828863360947,0.10349819764458387,0.11013215255914396,0.10953215255914396,0.6,0.11055690132528767,0.10995690132528767,0.6
2025-05-31,0.0638584828848247,0.07034640084548363,0.05905217520605282,0.05805217520605282,0.9999999999999999,0.05324380789164329,0.05204380789164329,1.2
2025-06-30,0.0242369186733282,0.019468490716138553,0.05458953545441222,0.05358953545441222,0.9999999999999999,0.049732045655317865,0.04913204565531786,0.6
2025-07-31,0.009539601296203,0.014835785880565684,-0.012032232397158771,-0.012632232397158771,0.6,0.011611192268021603,0.011011192268021603,0.6
2025-08-31,0.0537623217326979,0.04999439254309169,0.04410816955962256,0.043508169559622556,0.6,0.039514457274627116,0.03871445727462711,0.7999999999999999
2025-09-30,0.0478038018648532,0.06672163597079092,0.11067730909320508,0.10987730909320509,0.7999999999999999,0.08472482498716358,0.08412482498716357,0.6
2025-10-31,-0.0156103125344173,0.005773801087808484,-0.012876586897524528,-0.013476586897524527,0.6,-0.022042889598968385,-0.023042889598968386,0.9999999999999999
2025-11-30,-0.006699365349315,-0.009025176996615128,0.002656198011549458,0.0018561980115494579,0.7999999999999999,0.008265082019881059,0.007465082019881058,0.7999999999999999
2025-12-31,0.0123065646397895,0.013623108222692285,0.06859480321708729,0.06759480321708729,0.9999999999999999,0.07073415126026711,0.06973415126026711,0.9999999999999999
2026-01-31,-0.023445512550915,-0.024218810978404427,-0.010013355758369008,-0.010613355758369008,0.6,-0.012049512506620973,-0.012849512506620973,0.7999999999999999
2026-02-28,-0.04838249516441,-0.04821264070131143,-0.048150445849706215,-0.04895044584970622,0.7999999999999999,-0.04815044584970622,-0.048750445849706225,0.6
2026-03-31,0.1569007687376087,0.1768525203300143,0.17235434763089727,0.17175434763089728,0.6,0.1723543476308973,0.1717543476308973,0.6
2026-04-30,0.1056848850894773,0.08104633420236812,0.027086064398328454,0.026486064398328454,0.6,0.08169814660076671,0.08109814660076671,0.6
2026-05-31,-0.001490831230688,-0.050004149776604834,-0.09024072974946223,-0.09084072974946224,0.6,-0.0953347394802351,-0.0957347394802351,0.4
2026-06-30,-0.0547800455161126,-0.003935846192725359,-0.017185033163925438,-0.017785033163925438,0.6,0.004419858538750055,0.0034198585387500546,0.9999999999999999
